,Date,Open,High,Low,Close,Volume,DayVolitility,DayPriceChange,WkPriceChange,MthPriceChange,SixMthPriceChange,YrPriceChange,TwoYrPriceChange,FutWkPriceChange,FutMthPriceChange,FutSixMthPriceChange,FutYrPriceChange,FutTwoYrPriceChange
0,2005-02-25,104.77,106.0,104.68,105.79,70221808,0.012452830188679154,0.0,,,,,,0.010776065790717437,,,0.0656961905662159,0.19633235655544
1,2005-02-28,105.55,105.68,104.56,105.08,79695344,0.010598031794095464,-0.006711409395973256,,,,,,0.017986296155310333,-0.02750285496764371,0.003616292348686656,0.0732775028549677,0.20346402740768932
2,2005-03-01,105.22,105.87,105.22,105.62,54607412,0.006139605176159524,0.005138941758660032,,,,,,0.008805150539670459,-0.03891308464305998,0.011077447453133882,0.05756485514107168,0.1505396705169475
3,2005-03-02,105.21,106.22,105.1,105.57,73733090,0.010544153643381682,-0.00047339519030498156,,,,,,-0.0017050298380221207,-0.024722932651321416,0.010703798427583733,0.06763285024154597,0.16283034953111697
4,2005-03-03,105.99,106.2,105.15,105.61,71286823,0.00988700564971745,0.00037889551956049594,,,,,,9.468800303014113e-05,-0.026891392860524554,0.008427232269671459,0.06713379414828147,0.15907584509042705
5,2005-03-04,106.31,107.01,106.1,106.93,64483624,0.008503878142229748,0.012498816399962198,0.010776065790717437,,,,,-0.019171420555503693,-0.04329935471803992,,0.049097540447021304,0.12989806415411942
6,2005-03-07,106.86,107.38,106.62,106.97,50288014,0.007077668094617184,0.0003740764986439604,0.017986296155310333,,,,,-0.013368234084322639,-0.04197438534168452,0.007478732354865736,0.043657100121529346,0.11844442367018782
7,2005-03-08,106.87,107.15,106.36,106.55,51274973,0.0073728418105459825,-0.003926334486304639,0.008805150539670459,,,,,-0.017832003754105985,-0.033599249178789314,0.012951665884561425,0.046457062412013084,0.14218676677616138
8,2005-03-09,106.25,106.52,105.38,105.39,84491113,0.010702215546376292,-0.010886907555138436,-0.0017050298380221207,,,,,-0.015371477369769515,-0.01964133219470543,0.02106461713635066,0.05996773887465601,0.1535250023721415
9,2005-03-10,105.4,105.85,104.89,105.62,74962248,0.00906943788379777,0.0021823702438561465,9.468800303014113e-05,,,,,-0.015432683203938757,-0.016568831660670358,0.02764627911380413,0.050653285362620704,0.1608596856655935
10,2005-03-11,105.88,106.04,104.66,104.88,66729930,0.013013956997359633,-0.007006248816512128,-0.019171420555503693,,,,,-0.015446224256292829,-0.019832189168573544,,0.0680778032036613,0.1693363844393594
11,2005-03-14,104.89,105.56,104.78,105.54,41713280,0.007389162561576401,0.0062929061784897655,-0.013368234084322639,,,,,-0.02510896342618918,-0.02510896342618918,0.020845177184005914,0.06348303960583657,0.16363464089444757
12,2005-03-15,105.78,105.82,104.6,104.65,71730138,0.011529011529011535,-0.008432821678984292,-0.017832003754105985,,,,,-0.026755852842809458,-0.01184902054467285,0.02580028666985168,0.08370759675107498,0.15088389870998564
13,2005-03-16,104.27,104.44,103.59,103.77,88074366,0.008138644197625333,-0.008408982322025915,-0.015371477369769515,,,,,-0.01773152163438363,-0.015322347499277189,0.03392117182229937,0.09771610291991917,0.16922039124987953
14,2005-03-17,103.94,104.31,103.65,103.99,72019178,0.006327293643945908,0.0021200732388937382,-0.015432683203938757,,,,,-0.01865563996538122,-0.03009904798538321,0.034811039523030995,0.09770170208673923,0.16828541205885172
15,2005-03-18,103.75,104.13,102.93,103.26,71037158,0.011524056467876576,-0.007019905760169198,-0.015446224256292829,,,,,,-0.03700368003098986,,0.10197559558396274,0.16879721092388134
16,2005-03-21,103.42,103.48,102.59,102.89,70515555,0.008600695786625479,-0.0035831880689521922,-0.02510896342618918,,,,,-0.0068033822528914545,-0.03051802896297018,0.03323938186412678,0.10418893964428033,0.1871902031295558
17,2005-03-22,103.11,103.6,101.85,101.85,107137486,0.016891891891891886,-0.010107882204295926,-0.026755852842809458,,,,,-0.0033382425135001226,-0.012763868433971481,0.03436426116838498,0.1083946980854198,0.20559646539027998
18,2005-03-23,101.87,102.56,101.71,101.93,82588253,0.008287831513260624,0.0007854688267061594,-0.01773152163438363,,,,,0.010104974001765799,-0.027567938781516754,0.037182380064750165,0.11429412341803191,0.22446777200039247
19,2005-03-24,102.33,102.79,101.98,102.05,59713798,0.00788014398287773,0.0011772785244774653,-0.01865563996538122,,,,,0.0070553650171485405,-0.009701126898579049,0.036746692797648306,0.11082802547770698,0.2220480156785889
20,2005-03-28,102.29,102.75,102.19,102.19,53885043,0.0054501216545012054,0.0013718765311121484,-0.0068033822528914545,-0.02750285496764371,,,,0.0028378510617477204,-0.008415696252079496,0.03620706527057438,0.10842548194539581,0.22056952735101287
21,2005-03-29,102.05,102.71,101.27,101.51,83849903,0.01402005646967186,-0.006654271455132532,-0.0033382425135001226,-0.03891308464305998,,,,0.014382819426657312,-0.011328933110038464,0.044232095360063006,0.10905329524184793,0.22608609989163608
22,2005-03-30,101.85,102.98,101.72,102.96,72199510,0.012235385511749852,0.01428430696483085,0.010104974001765799,-0.024722932651321416,,,,0.0034965034965035446,-0.02146464646464641,0.037878787878787845,0.10023310023310028,0.19998057498057498
23,2005-03-31,102.97,103.19,102.68,102.77,74669192,0.0049423393739702615,-0.0018453768453767783,0.0070553650171485405,-0.026891392860524554,,,,0.010703512698258422,-0.03193538970516685,0.04300866011481941,0.10032110538094785,0.2035613505886933
