,Date,Open,High,Low,Close,Volume,DayVolitility,DayPriceChange,WkPriceChange,MthPriceChange,SixMthPriceChange,YrPriceChange,TwoYrPriceChange,FutWkPriceChange,FutMthPriceChange,FutSixMthPriceChange,FutYrPriceChange,FutTwoYrPriceChange
0,1972-03-20,0.03403,0.03403,0.03403,0.03403,3132119,-0.0,0.0,,,,,,0.24919188950925664,,0.24919188950925664,0.0,-0.2541874816338524
1,1972-03-22,0.03403,0.04251,0.03403,0.03403,1084194,0.19948247471183256,0.0,,,,,,0.24919188950925664,,0.24919188950925664,0.0,-0.2541874816338524
2,1972-03-23,0.03403,0.04251,0.03403,0.03403,783030,0.19948247471183256,0.0,,,,,,0.24919188950925664,,0.24919188950925664,0.0,-0.2541874816338524
3,1972-03-24,0.03403,0.04251,0.03403,0.03403,1264892,0.19948247471183256,0.0,,,,,,,,,0.0,-0.2541874816338524
4,1972-03-27,0.04251,0.04251,0.04251,0.04251,1385361,-0.0,0.24919188950925664,0.24919188950925664,,,,,-0.19948247471183256,,0.0,-0.19948247471183256,
5,1972-03-28,0.04251,0.04251,0.04251,0.04251,1746756,-0.0,0.0,,,,,,-0.19948247471183256,,0.0,-0.19948247471183256,
6,1972-03-29,0.04251,0.04251,0.04251,0.04251,1566055,-0.0,0.0,0.24919188950925664,,,,,-0.19948247471183256,,0.0,-0.19948247471183256,
7,1972-03-30,0.04251,0.04251,0.04251,0.04251,1505825,-0.0,0.0,0.24919188950925664,,,,,-0.19948247471183256,,0.0,-0.19948247471183256,-0.4029640084685956
8,1972-04-03,0.04251,0.04251,0.03403,0.03403,481866,0.19948247471183256,-0.19948247471183256,-0.19948247471183256,,,,,0.0,,0.24919188950925664,0.0,
9,1972-04-04,0.03403,0.04251,0.03403,0.03403,481866,0.19948247471183256,0.0,-0.19948247471183256,,,,,0.0,,0.24919188950925664,0.0,-0.2541874816338524
10,1972-04-05,0.03403,0.03403,0.03403,0.03403,361397,-0.0,0.0,-0.19948247471183256,,,,,0.0,,0.24919188950925664,0.0,-0.2541874816338524
11,1972-04-06,0.03403,0.03403,0.03403,0.03403,903496,-0.0,0.0,-0.19948247471183256,,,,,0.0,,0.24919188950925664,0.0,
12,1972-04-07,0.03403,0.03403,0.03403,0.03403,1566055,-0.0,0.0,,,,,,,,,0.0,-0.2541874816338524
13,1972-04-10,0.03403,0.03403,0.03403,0.03403,421630,-0.0,0.0,0.0,,,,,,0.0,,0.0,-0.2541874816338524
14,1972-04-11,0.03403,0.03403,0.03403,0.03403,1325125,-0.0,0.0,0.0,,,,,,,0.24919188950925664,0.0,-0.2541874816338524
15,1972-04-12,0.03403,0.03403,0.03403,0.03403,421630,-0.0,0.0,0.0,,,,,,,0.24919188950925664,0.0,-0.2541874816338524
16,1972-04-13,0.03403,0.03403,0.03403,0.03403,602329,-0.0,0.0,0.0,,,,,,0.0,0.24919188950925664,0.0,
17,1972-05-08,0.03403,0.03403,0.03403,0.03403,10179378,-0.0,0.0,,0.0,,,,0.0,0.24919188950925664,,0.0,
18,1972-05-11,0.03403,0.03403,0.03403,0.03403,5782366,-0.0,0.0,,0.0,,,,0.0,0.24919188950925664,,0.0,-0.2541874816338524
19,1972-05-12,0.03403,0.03403,0.03403,0.03403,3734444,-0.0,0.0,,,,,,0.24919188950925664,0.24919188950925664,,0.0,-0.2541874816338524
20,1972-05-15,0.03403,0.03403,0.03403,0.03403,13974056,-0.0,0.0,0.0,,,,,0.24919188950925664,0.24919188950925664,0.49897149573905386,-0.2541874816338524,-0.2541874816338524
21,1972-05-16,0.03403,0.03403,0.03403,0.03403,5300502,-0.0,0.0,,,,,,0.24919188950925664,0.24919188950925664,0.24919188950925664,-0.2541874816338524,-0.2541874816338524
22,1972-05-17,0.03403,0.03403,0.03403,0.03403,4216307,-0.0,0.0,,,,,,0.24919188950925664,0.24919188950925664,0.49897149573905386,,
23,1972-05-18,0.03403,0.03403,0.03403,0.03403,4276542,-0.0,0.0,0.0,,,,,0.24919188950925664,0.24919188950925664,0.24919188950925664,0.0,-0.2541874816338524
24,1972-05-19,0.04251,0.04251,0.04251,0.04251,8432623,-0.0,0.24919188950925664,0.24919188950925664,,,,,0.0,0.0,,-0.19948247471183256,-0.4029640084685956
25,1972-05-22,0.04251,0.04251,0.04251,0.04251,3915145,-0.0,0.0,0.24919188950925664,,,,,,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
26,1972-05-23,0.04251,0.04251,0.04251,0.04251,6444931,-0.0,0.0,0.24919188950925664,,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
27,1972-05-24,0.04251,0.04251,0.04251,0.04251,8974718,-0.0,0.0,0.24919188950925664,,,,,0.0,0.0,,-0.4029640084685956,-0.4029640084685956
28,1972-05-25,0.04251,0.04251,0.04251,0.04251,3734444,-0.0,0.0,0.24919188950925664,,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
29,1972-05-26,0.04251,0.04251,0.04251,0.04251,5842599,-0.0,0.0,0.0,,,,,0.0,0.0,,-0.19948247471183256,-0.4029640084685956
30,1972-05-30,0.04251,0.04251,0.04251,0.04251,2168389,-0.0,0.0,0.0,,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
31,1972-05-31,0.04251,0.04251,0.04251,0.04251,11444272,-0.0,0.0,0.0,,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
32,1972-06-01,0.04251,0.04251,0.04251,0.04251,3011648,-0.0,0.0,0.0,,,,,0.0,0.0,0.0,-0.19948247471183256,-0.4029640084685956
33,1972-06-02,0.04251,0.04251,0.04251,0.04251,1566055,-0.0,0.0,0.0,,,,,0.0,0.0,,,-0.4029640084685956
34,1972-06-05,0.04251,0.04251,0.04251,0.04251,4818639,-0.0,0.0,,0.24919188950925664,,,,0.0,0.0,0.1999529522465302,,-0.4029640084685956
35,1972-06-06,0.04251,0.04251,0.04251,0.04251,6384696,-0.0,0.0,0.0,,,,,0.0,,0.1999529522465302,-0.19948247471183256,-0.4029640084685956
36,1972-06-07,0.04251,0.04251,0.04251,0.04251,1927453,-0.0,0.0,0.0,,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
37,1972-06-08,0.04251,0.04251,0.04251,0.04251,1686526,-0.0,0.0,0.0,0.24919188950925664,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
38,1972-06-09,0.04251,0.04251,0.04251,0.04251,5360739,-0.0,0.0,0.0,0.24919188950925664,,,,0.0,0.0,,-0.4029640084685956,-0.4029640084685956
39,1972-06-12,0.04251,0.04251,0.04251,0.04251,2349087,-0.0,0.0,0.0,0.24919188950925664,,,,0.0,0.0,0.1999529522465302,-0.4029640084685956,-0.4029640084685956
